scenario,profile,method,expected_excess_return,expected_volatility,expected_sharpe,historical_annual_return,historical_annual_volatility,historical_max_drawdown
tau_0.025,Trustee_Conservative,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
tau_0.025,Trustee_Conservative,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
tau_0.025,Market_Balanced,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
tau_0.025,Market_Balanced,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
tau_0.025,Kelly_Growth,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
tau_0.025,Kelly_Growth,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
tau_0.05,Trustee_Conservative,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
tau_0.05,Trustee_Conservative,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
tau_0.05,Market_Balanced,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
tau_0.05,Market_Balanced,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
tau_0.05,Kelly_Growth,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
tau_0.05,Kelly_Growth,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
tau_0.1,Trustee_Conservative,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
tau_0.1,Trustee_Conservative,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
tau_0.1,Market_Balanced,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
tau_0.1,Market_Balanced,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
tau_0.1,Kelly_Growth,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
tau_0.1,Kelly_Growth,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
confidence_scale_0.6,Trustee_Conservative,MeanVariance,0.04457016652432578,0.08456509034986848,0.5270516041539959,0.1038424239939189,0.08735621295707591,-0.21008557620338997
