portfolio,profile,view_scenario,method,expected_excess_return,expected_volatility,expected_sharpe,historical_annual_return,historical_annual_volatility,historical_max_drawdown
Trustee_Conservative_AbsoluteOnly_MeanVariance,Trustee_Conservative,AbsoluteOnly,MeanVariance,0.05373840483700324,0.090721770700539,0.5923429891418992,0.10624040231118675,0.0938907312001388,-0.22745896734775783
Trustee_Conservative_AbsoluteOnly_MaxSharpe,Trustee_Conservative,AbsoluteOnly,MaxSharpe,0.04765567478548832,0.08023130253771654,0.5939785754205537,0.09709328154898741,0.0829664593603742,-0.20100575534549248
Trustee_Conservative_RelativeOnly_MeanVariance,Trustee_Conservative,RelativeOnly,MeanVariance,0.03446843522128604,0.07559308021007966,0.45597341880361664,0.09084627733993156,0.07792262824475753,-0.1828933397547926
Trustee_Conservative_RelativeOnly_MaxSharpe,Trustee_Conservative,RelativeOnly,MaxSharpe,0.034111210436127505,0.07480756375764795,0.45598611587775634,0.09004929607969528,0.0770955577278984,-0.1807259009076475
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,0.05053309766228506,0.08859130099108499,0.5704069936547184,0.10941311541280822,0.09145804632672139,-0.21510543176975172
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,0.04275014658938535,0.07445325903484601,0.5741877137893614,0.09543520986617335,0.07662405961624412,-0.17775646520885302
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,0.0422017770340835,0.07789011312832053,0.5418117311571744,0.08443154194753226,0.08086979045071828,-0.20384264697282295
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,0.0585724370509961,0.11941781402424345,0.490483245984599,0.12387510167276668,0.12377771016635153,-0.29398807371031443
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,0.044368402303718996,0.08815857341904419,0.5032794949258383,0.1062649094097622,0.0912282475186862,-0.21889172118188271
Market_Balanced_RelativeOnly_MeanVariance,Market_Balanced,RelativeOnly,MeanVariance,0.030081063712755245,0.09843064238009806,0.3056066991475554,0.1110201818249766,0.10180843572603002,-0.2380781186594645
Market_Balanced_RelativeOnly_MaxSharpe,Market_Balanced,RelativeOnly,MaxSharpe,0.026569008339715643,0.08673756249556155,0.30631490642909415,0.10031772276515588,0.0896210092274948,-0.20959898571765867
Market_Balanced_Combined_MeanVariance,Market_Balanced,Combined,MeanVariance,0.05486693950783243,0.11587837589675949,0.4734873015196166,0.12910737599819483,0.11980632568265512,-0.2782819490548306
Market_Balanced_Combined_MaxSharpe,Market_Balanced,Combined,MaxSharpe,0.03921482055532433,0.08049796483055878,0.4871529440262014,0.10302916572206404,0.0829674674676413,-0.19237311768894516
Market_Balanced_Combined_Benchmark,Market_Balanced,Combined,Benchmark,0.04746045645661239,0.10559318856474734,0.44946513218994916,0.11102821230278406,0.10962548743960794,-0.2725704231743853
Kelly_Growth_AbsoluteOnly_MeanVariance,Kelly_Growth,AbsoluteOnly,MeanVariance,0.047875040542931936,0.1321118908675417,0.36238252460509035,0.12866275783535475,0.13692577007886628,-0.3237736478591895
Kelly_Growth_AbsoluteOnly_MaxSharpe,Kelly_Growth,AbsoluteOnly,MaxSharpe,0.030356140434123446,0.07783081280487736,0.3900272827707273,0.0977418579442077,0.08029959595484569,-0.1842867551134123
Kelly_Growth_RelativeOnly_MeanVariance,Kelly_Growth,RelativeOnly,MeanVariance,0.011796672087521068,0.10409492318612014,0.11332610396790242,0.11165264036178159,0.10734666425750407,-0.23126100878521305
Kelly_Growth_RelativeOnly_MaxSharpe,Kelly_Growth,RelativeOnly,MaxSharpe,0.009468483933076392,0.08266594114439663,0.11453911734383244,0.09177399364465394,0.08521545500556896,-0.18424759372671584
Kelly_Growth_Combined_MeanVariance,Kelly_Growth,Combined,MeanVariance,0.04593710554643087,0.13054030987257945,0.3518997740335544,0.13197830850316605,0.1352668895454906,-0.3215973626618168
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,0.029268328241792922,0.07612352179934319,0.3844846842339007,0.09806904246472808,0.07838258295319424,-0.17780840172192403
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,0.03970941452216258,0.11437988513371686,0.3471713096733742,0.12161053191256706,0.1186553261185409,-0.2888305227562725
