portfolio,profile,view_scenario,method,ticker,risk_contribution
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VAS.AX,0.0
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VSO.AX,0.004431787086898202
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VHY.AX,0.1514627874740136
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VAP.AX,0.045760950639334386
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VGS.AX,0.38849687368646574
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VGAD.AX,0.2851024378263158
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VGE.AX,0.03209966298637518
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VAF.AX,0.029931745477900024
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,VBND.AX,0.007125495011664724
Trustee_Conservative_Combined_MeanVariance,Trustee_Conservative,Combined,MeanVariance,QAU.AX,0.055588259811032346
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VAS.AX,0.0
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VSO.AX,0.0
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VHY.AX,0.14549761515862647
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VAP.AX,0.018509114468181754
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VGS.AX,0.46275460725932704
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VGAD.AX,0.19393457716486648
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VGE.AX,0.02859873272825597
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VAF.AX,0.055210839283585195
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,VBND.AX,0.025206452585676088
Trustee_Conservative_Combined_MaxSharpe,Trustee_Conservative,Combined,MaxSharpe,QAU.AX,0.07028806135148112
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VAS.AX,0.2537377604635149
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VSO.AX,0.037252417185484325
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VHY.AX,0.07583015217625233
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VAP.AX,0.06089715637756997
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VGS.AX,0.24446507866010095
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VGAD.AX,0.1919293514522128
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VGE.AX,0.020246542612946776
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VAF.AX,0.052966040319899786
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,VBND.AX,0.03492685529678118
Trustee_Conservative_Combined_Benchmark,Trustee_Conservative,Combined,Benchmark,QAU.AX,0.02774864545523699
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VAS.AX,0.17783082123086402
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VSO.AX,0.12442274787653997
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VHY.AX,0.0
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VAP.AX,0.05749944352762545
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VGS.AX,0.2846448470978341
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VGAD.AX,0.33827200813021296
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VGE.AX,0.0
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VAF.AX,0.004304334185212166
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,VBND.AX,0.0036827903825706826
Market_Balanced_AbsoluteOnly_MeanVariance,Market_Balanced,AbsoluteOnly,MeanVariance,QAU.AX,0.009343007569140775
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VAS.AX,0.1997430795070321
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VSO.AX,0.04585660903421021
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VHY.AX,0.04529630652421109
Market_Balanced_AbsoluteOnly_MaxSharpe,Market_Balanced,AbsoluteOnly,MaxSharpe,VAP.AX,0.0266591131737021
