,Trustee_Conservative_Benchmark,Trustee_Conservative_EqualWeight,Trustee_Conservative_MeanVariance,Trustee_Conservative_MaxSharpe,Market_Balanced_Benchmark,Market_Balanced_EqualWeight,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe,Kelly_Growth_Benchmark,Kelly_Growth_EqualWeight,Kelly_Growth_MeanVariance,Kelly_Growth_MaxSharpe
2020-12-31,0.0,0.32999999999999996,0.20722028165013734,0.18035019803279545,0.0,0.30000000000000004,0.32896997594938077,0.3479119861266845,0.0,0.37,0.351600112463789,0.4586989389802012
2021-01-29,0.0038620194107464086,0.007847175164037726,0.007316572811037994,0.006938659580606808,0.004827773981219412,0.007847175164037726,0.014608206351266535,0.0036613099587523984,0.005284220320638241,0.007847175164037726,0.012065620716615821,0.0036435098152260877
2021-02-26,0.010569708112352071,0.010710171500191032,0.01315437102103405,0.009265526256221795,0.008362435722454868,0.010710171500191032,0.01772551365452795,0.0077458314803168496,0.006601348961561853,0.010710171500191032,0.013036887376858548,0.009395153235173169
2021-03-31,0.0113127152364184,0.012645202889292197,0.0185361492722432,0.008159577812934441,0.00999180847654084,0.012645202889292197,0.028653335961087205,0.016497276008919856,0.010452259587644376,0.012645202889292197,0.010448190064458986,0.019308760886042706
2021-04-30,0.0069710626908446,0.006016338625404134,0.007886364425191398,0.004954835652420314,0.004268064818443076,0.006016338625404134,0.007887254753435265,0.0062236806273815864,0.0030895193292176954,0.006016338625404134,0.014556184485926549,0.006690238201195013
2021-05-31,0.0056999202204272865,0.00663061703764168,0.007674313546832807,0.007289330698581217,0.004432335234938401,0.00663061703764168,0.007526972114733233,0.00682419708681903,0.00378756550112817,0.00663061703764168,0.008942098898095798,0.0074620127981482876
2021-06-30,0.008951652672381166,0.01198586115188071,0.013086754588685063,0.010707195095550941,0.008372938320848445,0.01198586115188071,0.022539484090586617,0.012913764294848829,0.008455488752376995,0.01198586115188071,0.010771907995801244,0.013796283441738149
2021-07-30,0.004238630440152012,0.007242378808759581,0.005908907329279518,0.007201962400420448,0.005871129911121646,0.007242378808759581,0.013447905083246309,0.00784461675910066,0.00776197524921751,0.007242378808759581,0.007058094053328138,0.009273902227375452
2021-08-31,0.009178068770103253,0.010240304976502204,0.011561631004479518,0.005767830669888026,0.007104702089549247,0.010240304976502204,0.016071787931389386,0.00992464961780256,0.005379576633850625,0.010240304976502204,0.010938922136020098,0.008126014736709767
2021-09-30,0.0027741159139651403,0.003894706968361604,0.004795651411007013,0.004325752951340919,0.002594266215158004,0.003894706968361604,0.007893130665642598,0.004770994793047686,0.002422280108555403,0.003894706968361604,0.004406277355260949,0.0044537551106202285
2021-10-29,0.007895471071196696,0.008966561577563113,0.010499111689094887,0.008682643163066845,0.006813324246444076,0.008966561577563113,0.012216323281235788,0.008822880792834931,0.006359414564162934,0.008966561577563113,0.013287247537784042,0.008116289196365045
2021-11-30,0.008113565555546456,0.007746805550995356,0.010707738324441628,0.010314535767766968,0.01056498478929075,0.007746805550995356,0.012695525668494908,0.011788627776419446,0.011625301065060887,0.007746805550995356,0.017822654002373917,0.01134361825932442
2021-12-31,0.005914430866590855,0.007945001843749508,0.006535637664582563,0.0049226213731572155,0.00610315346503449,0.007945001843749508,0.006124762534817,0.004155051709435243,0.00618796800632021,0.007945001843749508,0.01198461401430874,0.004235746650178923
2022-01-31,0.010582602216456835,0.015391190540490124,0.004568058540603012,0.006884183192959931,0.012320468201165113,0.015391190540490124,0.013168523952817071,0.009042625307679238,0.012805127643300697,0.015391190540490124,0.015447740956769675,0.007114990325110801
2022-02-28,0.011818789049603748,0.015118713921588846,0.01576630091835545,0.012183785751016803,0.015905725315070996,0.015118713921588846,0.020611084173723204,0.01742078024871222,0.018222678005881406,0.015118713921588846,0.021733532697185674,0.017772041716530802
2022-03-31,0.01896977302287635,0.018400813819045826,0.06176940167489918,0.07594142968367798,0.016360960165238865,0.018400813819045826,0.07036652707245972,0.0787098822230595,0.014891649546238925,0.018400813819045826,0.11914551016087181,0.09008719144861829
2022-04-29,0.005118585059846784,0.00606235352333314,0.05957687008801086,0.013812015844065842,0.006332407059932561,0.00606235352333314,0.07910647731736686,0.0195532697998958,0.005916037818837797,0.00606235352333314,0.09433943773533877,0.024664160251032803
2022-05-31,0.006054998823640894,0.008638367616046715,0.014582167862866336,0.014040577031426717,0.0052931169832790385,0.008638367616046715,0.013440410645119883,0.02312692292209026,0.005127249901865924,0.008638367616046715,0.0037302411164327406,0.025737752298561088
2022-06-30,0.015064955482917438,0.019027795150586377,0.029210378775449276,0.026122636007931608,0.015168429882552889,0.019027795150586377,0.025525075480692033,0.041875650139176275,0.015105655665354314,0.019027795150586377,0.01080327494681234,0.04754263401158609
2022-07-29,0.008689866931432876,0.015953848627776275,0.02170480467957114,0.01873485988382003,0.00980821950441781,0.015953848627776275,0.015035569211692613,0.02765087099577966,0.01160394107828146,0.015953848627776275,0.032701157561145285,0.03256673706797797
2022-08-31,0.007553588612346328,0.010664703561130556,0.014674239623630672,0.011554651662734648,0.008174557671503449,0.010664703561130556,0.016761609777217603,0.013568380164871961,0.008294789143090318,0.010664703561130556,0.006934886926400182,0.015828678961220404
2022-09-30,0.011010500904586364,0.012953868249035938,0.016065236268649384,0.013388433203889752,0.01085383034093228,0.012953868249035938,0.022164461149488075,0.020224897430417454,0.009616630129947823,0.012953868249035938,0.03419839347968942,0.022912943641203512
2022-10-31,0.016018164764082514,0.017632071576471828,0.032568748944255224,0.014891717636405911,0.01279129788371981,0.017632071576471828,0.015469164480741312,0.01858065482134036,0.01227213871666817,0.017632071576471828,0.021367973751304507,0.02020638569039178
2022-11-30,0.010650325859002505,0.010763266011916933,0.015359865591573083,0.01143581582533885,0.012963958914784093,0.010763266011916933,0.015551384894702919,0.014915283523541396,0.013721512739517971,0.010763266011916933,0.01635656729942821,0.015593450674760242
2022-12-30,0.00521602669715809,0.007671954708466412,0.008586540961144869,0.008568346483568034,0.00521683926177241,0.007671954708466412,0.007560779803963535,0.011569422676172388,0.005470525843469876,0.007671954708466412,0.015374227055699782,0.012702547823322023
2023-01-31,0.008496397940371691,0.00860408308092292,0.009898174065742657,0.004519411025113041,0.009531684073734815,0.00860408308092292,0.010662478379599575,0.005992888973062759,0.009962127782659017,0.00860408308092292,0.025068255802520735,0.009727718117370342
2023-02-28,0.009427176631817968,0.00932109974808347,0.01931961112609292,0.01768241834455521,0.011918395462695228,0.00932109974808347,0.014865390378070704,0.025445667033373746,0.01348363698467123,0.00932109974808347,0.010797000447664774,0.030663521277288937
2023-03-31,0.008109045685696587,0.014384936029506745,0.016493027167810655,0.007185609362522478,0.009949587747591034,0.014384936029506745,0.012992047981302062,0.00702243583349719,0.01014298284873369,0.014384936029506745,0.0103303353650058,0.007996726925780271
2023-04-28,0.006360717702983992,0.007319543455582576,0.008136911199636533,0.00734096918043877,0.005822364321051023,0.007319543455582576,0.0073162827531863175,0.007432997081417297,0.006001151470852447,0.007319543455582576,0.005667725174556076,0.007850684144356163
2023-05-31,0.006202848756297877,0.005713784366979127,0.00945968523473633,0.00916012566994198,0.007989469677515019,0.005713784366979127,0.007784717970995796,0.009472510339282512,0.008519912720640524,0.005713784366979127,0.008444049444752216,0.009756327436607308
2023-06-30,0.010291863786831789,0.009464877743492986,0.013017656673382151,0.014163411033390517,0.007735069564556246,0.009464877743492986,0.01494313827191838,0.016832770887446835,0.005678785763698492,0.009464877743492986,0.006765645242603736,0.017483798783558734
