,VAS.AX,VSO.AX,VHY.AX,VAP.AX,VGS.AX,VGAD.AX,VGE.AX,VAF.AX,VBND.AX,QAU.AX
rel_VGS_minus_VAS_2pct,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rel_VHY_minus_VAS_1pct,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
