factor,annual_mean,annual_volatility,market_beta,market_beta_tstat_hac,alpha_annual,alpha_tstat_hac,r_squared
SMB,-0.024084092863284643,0.08812016281262164,-0.297572207670409,-25.00773758020406,-0.002586240748188101,-0.17105421918437505,0.3039803378543927
HML,0.06565163370593285,0.08806197333404331,-0.10418990818412893,-8.03054683251762,0.07317874537930782,4.7412937137331,0.03731520445791692
RMW,0.04177067927772999,0.07884824926918146,-0.04236964962857793,-3.197215282811666,0.0448316387302757,3.371948161679776,0.007697274540109378
CMA,0.03374535683576956,0.07727877909192213,-0.19897495981867228,-21.261651397349404,0.04812013428651484,4.033064866286283,0.1767208078524145
WML,0.1075252364574373,0.11780038480129994,0.004187997072716205,0.16808681121884914,0.10722267815593275,4.829548267169128,3.36923002165479e-05
