ticker,alpha_annual,r_squared,beta_Mkt-RF,tstat_Mkt-RF,beta_SMB,tstat_SMB,beta_HML,tstat_HML,beta_RMW,tstat_RMW,beta_CMA,tstat_CMA,beta_WML,tstat_WML
VAS.AX,0.00320545380201274,0.5562998502351353,0.9862844058825935,22.162454745384352,0.08097783987173685,1.0822819109426318,-0.049482536580457745,-0.7585568508013266,0.29491334752362947,4.1192748548317715,0.10679882145326135,1.3314477866490786,0.07466225644068383,1.5999581430221708
VSO.AX,0.03535982548217471,0.5423925461622543,1.1590487613575209,22.05551329902051,0.7318908339112813,8.865119018634173,-0.09675488800965057,-1.2658145709203046,0.10605317406332347,1.3577648091382795,-0.17249017501330557,-1.9912519681394438,0.02385760857387468,0.47374095790072307
VHY.AX,0.018449280346924394,0.5146300625792073,1.025837048380987,21.922157909746808,0.11704552471314549,1.5167794284520848,0.1666044819474428,2.6520985380404607,0.35776408974020407,5.689297293113336,0.21165968988792247,2.7106106099025657,0.007233230056022299,0.15321931897236593
VAP.AX,0.04513274132819087,0.34626350908967185,1.0449711626311273,6.58594383765991,0.3329715202333175,1.7543631865251677,-0.14715203631990184,-0.9444663123735877,-0.04950308200924508,-0.5067030836772799,-0.11856142735271746,-1.0592539106022139,-0.14060274383000662,-1.9023011289349294
VGS.AX,0.1060692549981588,0.34605546929248654,0.7328733534335139,11.075871615477027,0.4066190941793691,3.6291205527205284,-0.05950911621780819,-0.8289850446725,-0.003908485877269152,-0.05556367095388074,-0.009532801292386327,-0.1294497416993907,-0.06591435035236957,-1.3182930508009696
VGAD.AX,0.08734505650057382,0.45039615184791515,1.241485322081279,13.724738936059001,0.7706427537355202,5.485095877876261,0.14989541076088334,1.4839424899679445,-0.04339071337467046,-0.4669393122836149,-0.07193258599002432,-0.7554616359700379,-0.11552276854507157,-1.6790070511294994
VGE.AX,0.04334996113195243,0.42712358371264525,0.9544013983342161,19.70705050965988,0.5756231407897993,6.33916900592722,0.09814109745019486,1.5789530898015272,-0.23234148271182048,-3.966214533080843,0.10606477910969633,1.4321858872321225,-0.04674098560117699,-0.9025152658217008
VAF.AX,-0.013857281346402071,0.135834769773319,0.3366712593451219,8.034545645311761,0.30415547821106326,3.9943652305312107,0.09438044002639817,1.7361762092607336,-0.11834185572604694,-2.4820282142183947,-0.06050699684284358,-1.0276685141221584,-0.033760633903934155,-0.9706066494421599
VBND.AX,-0.026200230432365013,0.14823428749219758,0.38627929972156794,9.270718313393948,0.29924922153147826,4.791037696649714,0.10925290724951812,2.186946794994717,-0.07626252705693924,-1.3706847799699466,-0.017173022894062574,-0.2732642504215909,-0.016085907148448,-0.43428553183314506
QAU.AX,0.057707990299322144,0.20095584461879867,0.754815667317389,10.997317131101733,0.9116725297589585,7.8928351578624385,0.5633482101217276,5.185228691472738,-0.12535635313978605,-1.3877594459115237,-0.2992227407191519,-2.840772434128014,0.21594672318699457,2.7857638927007726
