Ticker,VAS.AX,VSO.AX,VHY.AX,VAP.AX,VGS.AX,VGAD.AX,VGE.AX,VAF.AX,VBND.AX,QAU.AX
VAS.AX,0.023864837624190977,0.021373108705435254,0.01953324601602706,0.021083420063751194,0.011737884589258037,0.017359178187776478,0.009542604068011593,0.0008920919591550298,0.0015623732378168113,0.002986108434209865
VSO.AX,0.021373108705435254,0.03294305482407052,0.019225363697639376,0.024831648460336322,0.013325334387230185,0.0214585325048225,0.01150849039547434,0.001362881808446066,0.0019261831230400822,0.00650003774350173
VHY.AX,0.01953324601602706,0.019225363697639376,0.023198008834275183,0.018730904191308337,0.010934803435178417,0.016493459712065863,0.009161545943497166,0.0005031368767548203,0.0009794376028342438,0.001823399499112781
VAP.AX,0.021083420063751194,0.024831648460336322,0.018730904191308337,0.05211118704679359,0.013387736980434429,0.02163155238286167,0.010107040276476699,0.003089408395749002,0.0029130417566202334,0.003434932252448926
VGS.AX,0.011737884589258037,0.013325334387230185,0.010934803435178417,0.013387736980434429,0.017824759527006198,0.01720103567302356,0.010098737353549473,0.0005629152523364138,0.0004142086088151868,-0.0013860486979628212
VGAD.AX,0.017359178187776478,0.0214585325048225,0.016493459712065863,0.02163155238286167,0.01720103567302356,0.03166561130657457,0.012529513944782519,0.0008108181270309526,0.001246509621971574,0.004688359439506097
VGE.AX,0.009542604068011593,0.01150849039547434,0.009161545943497166,0.010107040276476699,0.010098737353549473,0.012529513944782519,0.021496295728458313,0.00038324324520465553,0.00019256248958035194,0.0018692535567041981
VAF.AX,0.0008920919591550298,0.001362881808446066,0.0005031368767548203,0.003089408395749002,0.0005629152523364138,0.0008108181270309526,0.00038324324520465553,0.002152702530597195,0.001297970384770663,0.0016699825268233345
VBND.AX,0.0015623732378168113,0.0019261831230400822,0.0009794376028342438,0.0029130417566202334,0.0004142086088151868,0.001246509621971574,0.00019256248958035194,0.001297970384770663,0.0024361822111009773,0.002208441381810738
QAU.AX,0.002986108434209865,0.00650003774350173,0.001823399499112781,0.003434932252448926,-0.0013860486979628212,0.004688359439506097,0.0018692535567041981,0.0016699825268233345,0.002208441381810738,0.03178638576904897
