portfolio,alpha_annual,alpha_tstat_hac,r_squared,observations,beta_Mkt-RF,tstat_Mkt-RF_hac,beta_SMB,tstat_SMB_hac,beta_HML,tstat_HML_hac,beta_RMW,tstat_RMW_hac,beta_CMA,tstat_CMA_hac,beta_WML,tstat_WML_hac
Trustee_Conservative_Benchmark,-0.00211222558387217,-0.06079525795686581,0.34609350742102396,1384,0.6702815781728653,10.724015692742276,0.2654982176784961,3.1063704892145645,0.058180342237912144,0.8781600506022125,-0.04693649217915956,-0.7336039244697884,-0.06951824528693284,-0.9841440889481955,0.027067885779943776,0.6643519283972438
Trustee_Conservative_EqualWeight,0.007355545898729231,0.21067634163585347,0.4082104362121437,1384,0.8062788515910171,12.707023793514923,0.34182138001101336,3.9033966653151517,0.07737852923305281,1.1097881413153499,-0.05760123674075404,-0.8564610882884061,-0.09700456546185685,-1.3109976031870842,0.038862577306797354,0.909805421153052
Trustee_Conservative_MeanVariance,0.017540142924401213,0.47591926447889216,0.3490613965286744,1384,0.7139338366368773,9.251142179261608,0.3174495142477681,3.1924925549376484,0.07375322803034755,0.985872110600756,-0.02414469383198099,-0.32099671545643954,-0.07164046173039751,-0.9554595380553274,0.028501847765725605,0.6341620291140485
Trustee_Conservative_MaxSharpe,0.009266061684255816,0.26225515607847677,0.3234202262604493,1384,0.6476903957079243,9.443629378906135,0.3010357676900762,3.3598648354715874,0.08888717674503199,1.3020503307971774,-0.04951589957597629,-0.7523525486878888,-0.0678256051528684,-0.9522211738286744,0.02380253746662435,0.5787685412862272
Market_Balanced_Benchmark,0.021312194762350457,0.6148299817391937,0.4144703055814184,1384,0.7958250471647144,11.57242178197601,0.28327769316725016,3.0620136432131497,0.023069712535663395,0.32293727558934765,-0.015186204127735999,-0.21408127102673744,-0.06646153254256168,-0.8910953248276402,0.04631602731767867,1.082160491318048
Market_Balanced_EqualWeight,0.007355545898729231,0.21067634163585347,0.4082104362121437,1384,0.8062788515910171,12.707023793514923,0.34182138001101336,3.9033966653151517,0.07737852923305281,1.1097881413153499,-0.05760123674075404,-0.8564610882884061,-0.09700456546185685,-1.3109976031870842,0.038862577306797354,0.909805421153052
Market_Balanced_MeanVariance,0.03657624106369249,0.9360416912893557,0.3962749433925121,1384,0.8381494737992726,10.13648845407855,0.3667176551494771,3.4189162350420164,0.02413630118259489,0.29651862934144085,-0.01231117114892449,-0.14607128378880418,-0.06702744405555525,-0.8281355345297795,0.035063167581403584,0.7071286549274288
Market_Balanced_MaxSharpe,0.01401821993134113,0.3988696818184922,0.3457459279367481,1384,0.6898973105974948,9.742727859479494,0.31481720369773586,3.423888309885469,0.09221248221278261,1.3230876066385944,-0.042404046729151844,-0.6263191685966659,-0.060142822938796095,-0.8315168301324457,0.026578922974242948,0.6393422631234349
Kelly_Growth_Benchmark,0.032940351714789186,0.9603518071681814,0.43673539310448717,1384,0.8341408813619806,11.689186156974445,0.3130161701976622,3.304749720657947,0.0046733661794505915,0.06431931587225939,-0.02269668169454881,-0.3123520651940002,-0.06294108293297379,-0.8370640303434782,0.04859608183930502,1.1344702148525367
Kelly_Growth_EqualWeight,0.007355545898729231,0.21067634163585347,0.4082104362121437,1384,0.8062788515910171,12.707023793514923,0.34182138001101336,3.9033966653151517,0.07737852923305281,1.1097881413153499,-0.05760123674075404,-0.8564610882884061,-0.09700456546185685,-1.3109976031870842,0.038862577306797354,0.909805421153052
Kelly_Growth_MeanVariance,0.04630676324675884,1.1658683099064848,0.4188882934465509,1384,0.8801416702356712,10.554601809012093,0.3433904231445299,3.1392758631593844,-0.026799980363609865,-0.3217781462192191,-0.008224029626458861,-0.09558332097161562,-0.056599949237372105,-0.6825228189184533,0.03999953527280417,0.7945574094906893
Kelly_Growth_MaxSharpe,0.009339894279170534,0.26558722944387364,0.3336232734905953,1384,0.6693360041976881,9.322693966543502,0.3204013655009872,3.470441722273933,0.09683251418878482,1.395439360308639,-0.048943060534669236,-0.7253055282219086,-0.06008438775617277,-0.8377056453460782,0.018332324737831366,0.4440820814845435
