,VAS.AX,VSO.AX,VHY.AX,VAP.AX,VGS.AX,VGAD.AX,VGE.AX,VAF.AX,VBND.AX,QAU.AX
abs_VGS_8pct,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abs_QAU_5pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
