portfolio,annual_return,annual_return_gross,annual_volatility,excess_sharpe,sortino,max_drawdown,average_one_way_turnover,transaction_cost_bps,start,end,observations
Trustee_Conservative_Benchmark,0.07013697244127289,0.07023665989893235,0.0742700784800532,0.5723097728183795,0.7790992176341742,-0.14276358493404773,0.008088580170859234,10.0,2021-01-04,2026-07-02,1387
Trustee_Conservative_EqualWeight,0.0855994778182927,0.08577903851267094,0.09264318397912959,0.6256976962367303,0.842731864740019,-0.15812180101216122,0.014542248633266398,10.0,2021-01-04,2026-07-02,1387
Trustee_Conservative_MeanVariance,0.09295956954726088,0.09322279867002008,0.08454248724926638,0.7728708470859416,1.025998724769809,-0.15352522179296357,0.021327989435294365,10.0,2021-01-04,2026-07-02,1387
Trustee_Conservative_MaxSharpe,0.08315166909216981,0.08335016349354434,0.07105582488478547,0.7815971405107884,1.0592674686325287,-0.14213834805130054,0.01608316149659834,10.0,2021-01-04,2026-07-02,1387
Market_Balanced_Benchmark,0.09766903807652205,0.09776972331047497,0.09810806122158403,0.7138503469225975,0.9609005072304044,-0.15823160400655256,0.0081734933633975,10.0,2021-01-04,2026-07-02,1387
Market_Balanced_EqualWeight,0.08560496225216137,0.08577903851267094,0.09264351267534968,0.6257546503069967,0.8428116234879057,-0.15812180101216178,0.014101072162678165,10.0,2021-01-04,2026-07-02,1387
Market_Balanced_MeanVariance,0.11096423205163554,0.11123577231860504,0.10885806036922056,0.7655357600846423,1.0042643693526778,-0.17215295253413943,0.021983114421602834,10.0,2021-01-04,2026-07-02,1387
Market_Balanced_MaxSharpe,0.09027427243576809,0.09053799757224923,0.0765045602149261,0.8190517718584707,1.0986893040312637,-0.144732928330775,0.021353713975478777,10.0,2021-01-04,2026-07-02,1387
Kelly_Growth_Benchmark,0.1085290034464998,0.10862964720109441,0.10617019522296413,0.761934622243556,1.0267507645089826,-0.16736367217037795,0.008170499920348458,10.0,2021-01-04,2026-07-02,1387
Kelly_Growth_EqualWeight,0.0855921652398012,0.08577903851267094,0.0926427484954892,0.6256217380642201,0.8426255197428378,-0.15812180101216144,0.015130483927384045,10.0,2021-01-04,2026-07-02,1387
Kelly_Growth_MeanVariance,0.11740038882849457,0.11765351588182782,0.12073496984910376,0.743494553688858,0.9800744729448346,-0.19333794447200958,0.020568603590103835,10.0,2021-01-04,2026-07-02,1387
Kelly_Growth_MaxSharpe,0.08402252205022338,0.08432900590140557,0.07325615715637879,0.7700690325862156,1.0335680611877638,-0.1463033959226383,0.024815238286422722,10.0,2021-01-04,2026-07-02,1387
