,Trustee_Conservative_Benchmark,Trustee_Conservative_EqualWeight,Trustee_Conservative_MeanVariance,Trustee_Conservative_MaxSharpe,Market_Balanced_Benchmark,Market_Balanced_EqualWeight,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe,Kelly_Growth_Benchmark,Kelly_Growth_EqualWeight,Kelly_Growth_MeanVariance,Kelly_Growth_MaxSharpe
2021-01-04,0.004061895109733538,0.005872949150418361,0.003053786381440604,0.0027572769839538935,0.0062160874893566476,0.005903135300322493,0.004311474791393266,0.002890064141497284,0.006649622964594704,0.005832700950546554,0.0032846767336502936,0.002189321725966309
2021-01-05,-0.0010955161541547952,0.00023382414237991866,-0.0018898801886782206,-0.0013669419155706607,-0.0017527584770748842,0.00023382414237991866,-0.003243647469370515,-0.0015176821580018098,-0.002002645308641061,0.00023382414237991866,-0.004077431677443495,-0.0013229875617682097
2021-01-06,-0.00471531440868073,-0.004822941532558259,-0.0037345511822930192,-0.003751620252112964,-0.006204739885745007,-0.004822941532558259,-0.0032772716831232806,-0.004015172795167408,-0.006971215441869771,-0.004822941532558259,-0.004116315322424512,-0.0037685372079253746
2021-01-07,0.0058853183385261226,0.00466750960252647,0.005104272326303557,0.004335474303874898,0.008783621146034176,0.00466750960252647,0.008073478763922925,0.0051186441139210925,0.009258765496570343,0.00466750960252647,0.009836754193415013,0.0036398591480112257
2021-01-08,0.0038667338290373126,0.00327236870913275,0.0051224794193148885,0.004292246014550299,0.006228143703157994,0.00327236870913275,0.007642640723609248,0.005164186218947652,0.007963495171282106,0.00327236870913275,0.008881674205680676,0.004945594377796892
2021-01-11,-0.002433039353668434,-0.005094439143651744,-0.0029317587320565014,-0.0027756538595170637,-0.0033812478608332107,-0.005094439143651744,-0.0031089672319351267,-0.0024683658024206912,-0.003030633367229191,-0.005094439143651744,0.0004299315532276451,-0.00202585748669966
2021-01-12,-0.0013395464615988371,-0.0011043287064643585,-0.00035570226955032136,-0.00021164827059858062,-0.0015266706636504282,-0.0011043287064643585,-0.0007497923353937133,-6.125883843238706e-05,-0.0014400673081399163,-0.0011043287064643585,-0.002452599280938909,-2.3605174912352328e-05
2021-01-13,0.0006579495584487472,0.0011587614496086512,0.0002507587041372483,0.0004709773966522973,0.00016309410103126923,0.0011587614496086512,0.000860444703569309,0.0007534388057574315,0.00013756504470590787,0.0011587614496086512,0.0005355221674239888,0.0009046673797374105
2021-01-14,0.0018547265872804787,0.0013965681292402948,0.0009573725941345873,0.0006060980752104054,0.00281241781604531,0.0013965681292402948,0.0012023559786846702,0.00036582465824669635,0.002831231999054657,0.0013965681292402948,0.0031636679867579585,9.857423131109575e-05
2021-01-15,-0.0016298566405450153,-0.00020644534576509657,-0.002325132526969472,-0.0019098886654585019,-0.0022625408381735735,-0.00020644534576509657,-0.0030941202898241336,-0.0020271686592111694,-0.0026814590093285503,-0.00020644534576509657,-0.004207162776827155,-0.0019593967723796827
2021-01-18,-0.0024326558953766614,-0.0022296250376789488,-0.0020708728422627336,-0.0019047330445243578,-0.002998094731166898,-0.0022296250376789488,-0.00310461129123113,-0.0018634217052242287,-0.002180081852504277,-0.0022296250376789488,-0.0014900906859176926,-0.0012349004392434575
2021-01-19,0.00550683135799738,0.007981447315645282,0.005021892681725216,0.004305707102619626,0.00842276173781617,0.007981447315645282,0.00788599268159815,0.005033436749265012,0.009709747458202753,0.007981447315645282,0.00874743993569742,0.004300698665670618
2021-01-20,0.0006709881964740245,0.0009679516770554497,0.00012864128819947468,0.0002391486973174443,0.0007660945975268164,0.0009679516770554497,0.00027458705987880414,0.0003049398977695755,0.0006557280068227797,0.0009679516770554497,-0.0002869004867936425,0.0002004782707187387
2021-01-21,0.005384511136625184,0.0061568506351754515,0.006156556903262512,0.005463337817485264,0.007012301575677073,0.0061568506351754515,0.00855738596331211,0.005838738051167606,0.0075830686315359296,0.0061568506351754515,0.008464503832113501,0.005367018281503226
2021-01-22,-0.002880800633173731,-0.0035324834611246423,-0.0027265328754580045,-0.0027049212197705007,-0.0032112151937268843,-0.0035324834611246423,-0.0033013716093988166,-0.0029757622633335614,-0.0035089979387594923,-0.0035324834611246423,-0.0033104898433296307,-0.0029873983017315443
2021-01-25,0.0016685710719217095,0.0029063490629674766,0.0011419948500005876,0.001024161565730447,0.0028420512739574764,0.0029063490629674766,0.0017842636834222213,0.0015149287912634426,0.0038608876472638527,0.0029063490629674766,0.0029064646800932366,0.0015493555787399608
