,Trustee_Conservative_Benchmark,Trustee_Conservative_EqualWeight,Trustee_Conservative_MeanVariance,Trustee_Conservative_MaxSharpe,Market_Balanced_Benchmark,Market_Balanced_EqualWeight,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe,Kelly_Growth_Benchmark,Kelly_Growth_EqualWeight,Kelly_Growth_MeanVariance,Kelly_Growth_MaxSharpe
2021-01-04,,,,,,,,,,,,
2021-01-05,-0.006444816185475655,-0.00512259472783394,-0.007234926268171349,-0.006714788416691597,-0.007098538866192272,-0.00512259472783394,-0.008581443899398633,-0.006864721419995723,-0.007347087512118433,-0.00512259472783394,-0.009410763054042981,-0.006671069445781108
2021-01-06,0.0076107065831707565,0.0075017465600661914,0.008603615990738112,0.008586335530432532,0.006102835439291798,0.0075017465600661914,0.009066558630100197,0.008319519042674584,0.005326867529942714,0.0075017465600661914,0.008217123924141534,0.00856920906797809
2021-01-07,0.012491069823888923,0.011265263613703835,0.011704894602837745,0.010931047805378569,0.015408406081559356,0.011265263613703835,0.014693600121990613,0.011719360771450305,0.015886670753509913,0.011265263613703835,0.01646845516108142,0.010230864473834034
2021-01-08,-0.002297576557696024,-0.0028882919390857964,-0.0010495419566605158,-0.0018746772580336968,4.9332922175349125e-05,-0.0028882919390857964,0.0014551441296781764,-0.0010080912604025771,0.0017740283492941877,-0.0028882919390857964,0.0026865692443183153,-0.0012253408238269703
2021-01-11,-0.009170903932621766,-0.01181432783518821,-0.009666254811683928,-0.009511204317981026,-0.010112707956913769,-0.01181432783518821,-0.009842266392537047,-0.009205991776010114,-0.009764461618100961,-0.01181432783518821,-0.006327270384544836,-0.00876647229334393
2021-01-12,-0.0025079766512675628,-0.0022730341003082133,-0.001525283554420498,-0.0013813980982810836,-0.0026948819184788864,-0.0022730341003082133,-0.0019189125358896053,-0.0012311846213677313,-0.0026083798886740173,-0.0022730341003082133,-0.003619727201641054,-0.0011935750125383615
2021-01-13,0.009558062511094478,0.010063328753915135,0.009147249995056894,0.009369427370095496,0.009058805680092652,0.010063328753915135,0.0097623587008826,0.009654401064689289,0.00903304956167772,0.010063328753915135,0.009434546218903161,0.009806974705073523
2021-01-14,-0.0018707680664584725,-0.0023272228175234,-0.002764785161134875,-0.003114753431450734,-0.0009166381060672357,-0.0023272228175234,-0.0025207127712281174,-0.0033541333682455265,-0.0008978938854351526,-0.0023272228175234,-0.0005666940934216935,-0.0036203899983657806
2021-01-15,0.0020645833036136985,0.0034932618908696256,0.0013667345688082033,0.0017835150282619061,0.0014295578763445782,0.0034932618908696256,0.0005949011888979339,0.001665801043272186,0.0010090895105698827,0.0034932618908696256,-0.0005222600797523125,0.0017338237180180016
2021-01-18,-0.013584376436517331,-0.013383615243519165,-0.01322663772540067,-0.013062355190338382,-0.014143494279627578,-0.013383615243519165,-0.014248820100121407,-0.013021505666988675,-0.013334625897400088,-0.013383615243519165,-0.012652348083411757,-0.012400010586812615
2021-01-19,0.005259581873097163,0.007733589334112612,0.004774762441005276,0.004058752968625123,0.008174795239105581,0.007733589334112612,0.0076381581719189295,0.004786303669912284,0.009461464495648997,0.007733589334112612,0.008499393600118088,0.004053745763227701
2021-01-20,0.003901286126451131,0.004199208244314967,0.0033571884508258876,0.0034680525924353223,0.003996699543510118,0.004199208244314967,0.003503605354705064,0.0035340561755596855,0.0038859766748948754,0.004199208244314967,0.0029403052521763673,0.003429257332599356
2021-01-21,0.011107816590007147,0.011884552749551247,0.011884257345524452,0.011187092003832166,0.012744873475670992,0.011884552749551247,0.014298753493041438,0.011564629260892856,0.013318889710492776,0.011884552749551247,0.014205342616072203,0.011090224154125972
2021-01-22,-0.0021967131732295586,-0.0028488430972254397,-0.0020423395779783915,-0.002020713095314708,-0.0025273544192758735,-0.0028488430972254397,-0.0026175726880074413,-0.002291739953133143,-0.0028253414622918527,-0.0028488430972254397,-0.0026266971776292003,-0.002303383974596729
2021-01-25,-0.00416804356575684,-0.0029374779734518963,-0.004691551484874434,-0.004808698167316772,-0.0030014011061859636,-0.0029374779734518963,-0.004053025082614958,-0.00432079058943069,-0.0019885013824476605,-0.0029374779734518963,-0.0029373630300147946,-0.004286564403128579
2021-01-27,0.0021352804263470304,0.00033928039157959944,0.0022943309210021745,0.002557701384434008,0.00032622741061927307,0.00033928039157959944,0.0012341026867961347,0.001902539055408381,-0.0009217142604520667,0.00033928039157959944,0.0008938411999444007,0.001875091928223771
2021-01-28,-0.02233390981603134,-0.02640803769265776,-0.022007976421149822,-0.020215658259129077,-0.027073335200442417,-0.02640803769265776,-0.028418216783169692,-0.020966762510294057,-0.0285310775531874,-0.02640803769265776,-0.0310913249903787,-0.018924176585362384
