portfolio,transaction_cost_bps,annual_return,annual_volatility,excess_sharpe,max_drawdown
Trustee_Conservative_Benchmark,0.0,0.07023665989893235,0.07427121379666937,0.5736438219506219,-0.14269169949541693
Trustee_Conservative_Benchmark,5.0,0.07018681617010264,0.07427064460808522,0.5729768143129771,-0.14272764285742
Trustee_Conservative_Benchmark,10.0,0.07013697244127289,0.0742700784800532,0.5723097728183795,-0.14276358493404773
Trustee_Conservative_Benchmark,20.0,0.07003728498361339,0.07426895540592536,0.5709755885832289,-0.14283546523133084
Trustee_Conservative_EqualWeight,0.0,0.08577903851267094,0.09264831083070904,0.6276012514858137,-0.15802981354553225
Trustee_Conservative_EqualWeight,5.0,0.08568925816548162,0.09264571875057037,0.6266496945148039,-0.15807580836194812
Trustee_Conservative_EqualWeight,10.0,0.0855994778182927,0.09264318397912959,0.6256976962367303,-0.15812180101216122
Trustee_Conservative_EqualWeight,20.0,0.08541991712391467,0.09263828638105222,0.6237923825573417,-0.15821377981432638
Trustee_Conservative_MeanVariance,0.0,0.09322279867002008,0.08454354226810555,0.7759759514519077,-0.15332380262285716
Trustee_Conservative_MeanVariance,5.0,0.09309118410864048,0.0845429918734151,0.7744236190880281,-0.15342451717749728
Trustee_Conservative_MeanVariance,10.0,0.09295956954726088,0.08454248724926638,0.7728708470859416,-0.15352522179296357
Trustee_Conservative_MeanVariance,20.0,0.09269634042450182,0.08454161531579826,0.7697639942036686,-0.15372660120956794
Trustee_Conservative_MaxSharpe,0.0,0.08335016349354434,0.07105679165600966,0.7843813273537746,-0.1419845386305879
Trustee_Conservative_MaxSharpe,5.0,0.0832509162928568,0.07105629137364997,0.7829894302464496,-0.14206144598150328
Trustee_Conservative_MaxSharpe,10.0,0.08315166909216981,0.07105582488478547,0.7815971405107884,-0.14213834805130054
Trustee_Conservative_MaxSharpe,20.0,0.0829531746907953,0.07105499329015622,0.7788113910495493,-0.14229213634869353
Market_Balanced_Benchmark,0.0,0.09776972331047497,0.09810919772457934,0.7148685637564208,-0.1581842843093072
Market_Balanced_Benchmark,5.0,0.09771938069349853,0.09810862829719251,0.7143594668578143,-0.15820794441250008
Market_Balanced_Benchmark,10.0,0.09766903807652205,0.09810806122158403,0.7138503469225975,-0.15823160400655256
Market_Balanced_Benchmark,20.0,0.097568352842569,0.09810693412586495,0.712832038086072,-0.15827892166727064
Market_Balanced_EqualWeight,0.0,0.08577903851267094,0.09264831083070904,0.6276012514858137,-0.15802981354553225
Market_Balanced_EqualWeight,5.0,0.08569200038241592,0.09264588777807682,0.6266781374174506,-0.15807580836194834
Market_Balanced_EqualWeight,10.0,0.08560496225216137,0.09264351267534968,0.6257546503069967,-0.15812180101216178
Market_Balanced_EqualWeight,20.0,0.08543088599165191,0.09263890633428838,0.6239065624834806,-0.15821377981432716
Market_Balanced_MeanVariance,0.0,0.11123577231860504,0.10885970714702815,0.7680187090840817,-0.17193600168148737
Market_Balanced_MeanVariance,5.0,0.11110000218512048,0.10885885474664683,0.7667774488451884,-0.17203862311548213
Market_Balanced_MeanVariance,10.0,0.11096423205163554,0.10885806036922056,0.7655357600846423,-0.17215295253413943
Market_Balanced_MeanVariance,20.0,0.11069269178466601,0.10885664568822143,0.763051104870266,-0.1723815724785197
Market_Balanced_MaxSharpe,0.0,0.09053799757224923,0.07650705767166328,0.8224732811859293,-0.14451807657688687
Market_Balanced_MaxSharpe,5.0,0.09040613500400864,0.07650576479511068,0.8207630295767762,-0.14462550806520347
Market_Balanced_MaxSharpe,10.0,0.09027427243576809,0.0765045602149261,0.8190517718584707,-0.144732928330775
Market_Balanced_MaxSharpe,20.0,0.09001054729928698,0.07650241596003889,0.8156262614527636,-0.1449477351975652
Kelly_Growth_Benchmark,0.0,0.10862964720109441,0.10617137545371307,0.7628742751226704,-0.16731624124604805
Kelly_Growth_Benchmark,5.0,0.10857932532379704,0.10617078422163188,0.7624044593195107,-0.1673399569648496
Kelly_Growth_Benchmark,10.0,0.1085290034464998,0.10617019522296413,0.761934622243556,-0.16736367217037795
Kelly_Growth_Benchmark,20.0,0.10842835969190463,0.10616902392601744,0.7609948843894212,-0.16741110104165113
Kelly_Growth_EqualWeight,0.0,0.08577903851267094,0.09264831083070904,0.6276012514858137,-0.15802981354553225
Kelly_Growth_EqualWeight,5.0,0.08568560187623586,0.09264549407501159,0.6266117657803317,-0.15807580836194834
Kelly_Growth_EqualWeight,10.0,0.0855921652398012,0.0926427484954892,0.6256217380642201,-0.15812180101216144
Kelly_Growth_EqualWeight,20.0,0.08540529196693164,0.09263747089011953,0.623640065368219,-0.15821377981432738
Kelly_Growth_MeanVariance,0.0,0.11765351588182782,0.12073416982815398,0.7455958759917679,-0.19313269678303613
Kelly_Growth_MeanVariance,5.0,0.11752695235516113,0.12073453891128681,0.7445454025393818,-0.19323532475216876
Kelly_Growth_MeanVariance,10.0,0.11740038882849457,0.12073496984910376,0.743494553688858,-0.19333794447200958
Kelly_Growth_MeanVariance,20.0,0.11714726177516124,0.12073601728604569,0.7413917362868855,-0.19354315916518605
Kelly_Growth_MaxSharpe,0.0,0.08432900590140557,0.07325880462007205,0.7742265769498413,-0.14606071178745106
Kelly_Growth_MaxSharpe,5.0,0.08417576397581442,0.07325740516380155,0.7721486432601854,-0.14618206099922748
Kelly_Growth_MaxSharpe,10.0,0.08402252205022338,0.07325615715637879,0.7700690325862156,-0.1463033959226383
Kelly_Growth_MaxSharpe,20.0,0.08371603819904162,0.07325411551809949,0.7659048312857093,-0.14654602290991203
